"","code","borough","ward_name","year","population","hectares","square_kilometres","population_per_hectare","population_per_square_kilometre"
"69","E05000094","Brent","Kilburn",2022,18410,94.4,0.944,195.0211864,19502.11864
"70","E05000095","Brent","Mapesbury",2022,16074,139.4,1.394,115.3084648,11530.84648
"71","E05000096","Brent","Northwick Park",2022,12390,267.3,2.673,46.35241302,4635.241302
"72","E05000097","Brent","Preston",2022,16137,239.5,2.395,67.37787056,6737.787056
"73","E05000098","Brent","Queens Park",2022,15766,148.9,1.489,105.883143,10588.3143
"74","E05000099","Brent","Queensbury",2022,19660,205,2.05,95.90243902,9590.243902
"75","E05000100","Brent","Stonebridge",2022,20982,405.5,4.055,51.74352651,5174.352651
"76","E05000101","Brent","Sudbury",2022,16314,213,2.13,76.5915493,7659.15493
"77","E05000102","Brent","Tokyngton",2022,24137,276.4,2.764,87.32633864,8732.633864
"78","E05000103","Brent","Welsh Harp",2022,13994,231.2,2.312,60.52768166,6052.768166
"79","E05000104","Brent","Wembley Central",2022,18629,160.3,1.603,116.21335,11621.335
"80","E05000105","Brent","Willesden Green",2022,16365,154.7,1.547,105.7853911,10578.53911
"81","E05000106","Bromley","Bickley",2022,16867,486.9,4.869,34.64161019,3464.161019
"82","E05000107","Bromley","Biggin Hill",2022,10828,828.2,8.282,13.07413668,1307.413668
"83","E05000108","Bromley","Bromley Common and Keston",2022,17824,832.1,8.321,21.42050234,2142.050234
"84","E05000109","Bromley","Bromley Town",2022,21462,371.8,3.718,57.72458311,5772.458311
"85","E05000110","Bromley","Chelsfield and Pratts Bottom",2022,15600,1256.2,12.562,12.41840471,1241.840471
"86","E05000111","Bromley","Chislehurst",2022,17039,1044.9,10.449,16.30682362,1630.682362
"87","E05000112","Bromley","Clock House",2022,17191,226.6,2.266,75.86496028,7586.496028
"88","E05000113","Bromley","Copers Cope",2022,17219,328.6,3.286,52.40109556,5240.109556
"89","E05000114","Bromley","Cray Valley East",2022,16833,1328.8,13.288,12.66782059,1266.782059
"90","E05000115","Bromley","Cray Valley West",2022,17732,393.8,3.938,45.02793296,4502.793296
"91","E05000116","Bromley","Crystal Palace",2022,13976,229.3,2.293,60.95071958,6095.071958
"92","E05000117","Bromley","Darwin",2022,5558,2903.5,29.035,1.914241433,191.4241433
"93","E05000118","Bromley","Farnborough and Crofton",2022,15549,699.5,6.995,22.22873481,2222.873481
"94","E05000119","Bromley","Hayes and Coney Hall",2022,17164,1081.7,10.817,15.86761579,1586.761579
"95","E05000120","Bromley","Kelsey and Eden Park",2022,17681,520,5.2,34.00192308,3400.192308
"96","E05000121","Bromley","Mottingham and Chislehurst North",2022,10549,244.9,2.449,43.07472438,4307.472438
"97","E05000122","Bromley","Orpington",2022,16152,425.6,4.256,37.95112782,3795.112782
"98","E05000123","Bromley","Penge and Cator",2022,18608,295.7,2.957,62.9286439,6292.86439
"99","E05000124","Bromley","Petts Wood and Knoll",2022,15388,430.2,4.302,35.76940958,3576.940958
"100","E05000125","Bromley","Plaistow and Sundridge",2022,16949,399.3,3.993,42.44678187,4244.678187
"101","E05000126","Bromley","Shortlands",2022,10604,245.6,2.456,43.17589577,4317.589577
"102","E05000127","Bromley","West Wickham",2022,15775,441.3,4.413,35.7466576,3574.66576
"103","E05000128","Camden","Belsize",2022,14531,78,0.78,186.2948718,18629.48718
"104","E05000129","Camden","Bloomsbury",2022,12337,102.1,1.021,120.8325171,12083.25171
"105","E05000130","Camden","Camden Town with Primrose Hill",2022,15090,116.6,1.166,129.4168096,12941.68096
"106","E05000131","Camden","Cantelowes",2022,14355,75.8,0.758,189.3799472,18937.99472
"107","E05000132","Camden","Fortune Green",2022,13814,100.5,1.005,137.4527363,13745.27363
"108","E05000133","Camden","Frognal and Fitzjohns",2022,14085,153.3,1.533,91.87866928,9187.866928
"109","E05000134","Camden","Gospel Oak",2022,13041,69.1,0.691,188.7264834,18872.64834
"110","E05000135","Camden","Hampstead Town",2022,12451,245,2.45,50.82040816,5082.040816
"111","E05000136","Camden","Haverstock",2022,14229,73.2,0.732,194.3852459,19438.52459
"112","E05000137","Camden","Highgate",2022,12016,324.2,3.242,37.06354102,3706.354102
"113","E05000138","Camden","Holborn and Covent Garden",2022,15544,120.1,1.201,129.4254788,12942.54788
"114","E05000139","Camden","Kentish Town",2022,15993,102.8,1.028,155.57393,15557.393
"115","E05000140","Camden","Kilburn",2022,14205,68.6,0.686,207.0699708,20706.99708
"116","E05000141","Camden","King's Cross",2022,13335,61,0.61,218.6065574,21860.65574
"117","E05000142","Camden","Regent's Park",2022,15422,135,1.35,114.237037,11423.7037
"118","E05000143","Camden","St Pancras and Somers Town",2022,20658,140,1.4,147.5571429,14755.71429
"119","E05000144","Camden","Swiss Cottage",2022,15238,125.7,1.257,121.2251392,12122.51392
"120","E05000145","Camden","West Hampstead",2022,14739,88.7,0.887,166.1668546,16616.68546
"121","E05000146","Croydon","Addiscombe",2022,18701,159.5,1.595,117.2476489,11724.76489
"122","E05000147","Croydon","Ashburton",2022,14611,271.4,2.714,53.83566691,5383.566691
"123","E05000148","Croydon","Bensham Manor",2022,17534,144.6,1.446,121.2586445,12125.86445
"124","E05000149","Croydon","Broad Green",2022,23519,266.7,2.667,88.18522685,8818.522685
"125","E05000150","Croydon","Coulsdon East",2022,12583,774.3,7.743,16.25080718,1625.080718
"126","E05000151","Croydon","Coulsdon West",2022,16969,499.5,4.995,33.97197197,3397.197197
