gss_code,five_min_area,count_5m,ten_min_area,count_10m,fifteen_min_area,count_15m,twenty_min_area,count_20m,twenty_five_min_area,count_25m,twenty_five_plus_area,count_25_plus,ward_name.x,borough_name,borough_area,os_area,open_space_with_access,med_caring,med_enjoying,med_learning,med_living,med_supplying,med_div_score,med_prox_score,med_total_score,med_func_comp,med_log_func_comp,ward_name.y,ward_hectares,borough.x,ward_name2,borough.y,ward_name,year,population,hectares,square_kilometres,population_per_hectare,population_per_square_kilometre
E05000037,219997.72010969,"22",430002.10993325,"43",399997.32006933,"40",110001.14996549,"11",59999.97004123,"6",9999.74999469,"1",Parsloes,Barking and Dagenham,1243845.06,216439.7432,170374.71,3,6,1,3,8,0.8,0.8,1.4,4.4,1.48160454092422,Parsloes,124.384,Barking and Dagenham,Parsloes,Barking and Dagenham,Parsloes,"2022","10306",124.3,1.243,82.91230893,8291.230893
E05000038,180000.2400227,"18",389996.51994744,"39",409998.32002262,"41",240002.66001375,"24",69998.8900246,"7",1829992.04002764,"183",River,Barking and Dagenham,3543674.04,725951.1167,510530.98,1,8,1,4,3,1,0,1,3.4,1.22377543162212,River,354.369,Barking and Dagenham,River,Barking and Dagenham,River,"2022","14146",355.2,3.552,39.82545045,3982.545045
E05000039,379997.7000784,"38",1010001.05993608,"101",1029994.09013705,"103",690000.31983205,"69",640001.82005306,"64",2940002.97002912,"294",Thames,Barking and Dagenham,7888493.085,3457706.216,3025594.63,0,3,1,2,3,0.6,0.2,1,1.8,0.587786664902119,Thames,788.848,Barking and Dagenham,Thames,Barking and Dagenham,Thames,"2022","21082",788.4,7.884,26.74023338,2674.023338
E05000040,260001.34999213,"26",529994.09996109,"53",379997.25006696,"38",99997.79002576,"10",29999.89996263,"3",20000.33000099,"2",Valence,Barking and Dagenham,1292830,152413.134,133968.79,1,6,0,4,5,0.6,0.8,1.4,2.8,1.02961941718116,Valence,129.284,Barking and Dagenham,Valence,Barking and Dagenham,Valence,"2022","11709",129.3,1.293,90.55684455,9055.684455
E05000041,339999.59002789,"34",479999.00993659,"48",400003.56999679,"40",300000.64996973,"30",240005.31008071,"24",379995.59987728,"38",Village,Barking and Dagenham,2147502.445,1010267.965,906970.96,3,10,0,5,18,0.8,0.6,1.4,7.2,1.97408102602201,Village,214.748,Barking and Dagenham,Village,Barking and Dagenham,Village,"2022","11043",214,2.14,51.60280374,5160.280374
E05000042,210001.6300587,"21",579999.4099456,"58",460004.65003093,"46",159999.56995834,"16",49998.39999054,"5",90002.66002002,"9",Whalebone,Barking and Dagenham,1553976.28,249171.6907,2252.43,2,7,0,4,5,0.8,0.8,1.6,2.8,1.02961941718116,Whalebone,155.399,Barking and Dagenham,Whalebone,Barking and Dagenham,Whalebone,"2022","12771",155.4,1.554,82.18146718,8218.146718
E05000043,509997.23004345,"51",869998.38997994,"87",800007.43992491,"80",510001.12001789,"51",249998.5699473,"25",269996.27004973,"27",Brunswick Park,Barnet,3175248.525,890120.3006,524693.6975,2,7,1,2,9,0.8,0.6,1.4,4,1.38629436111989,Brunswick Park,317.526,Barnet,Brunswick Park,Barnet,Brunswick Park,"2022","16787",317.4,3.174,52.88909893,5288.909893
E05000044,249998.28995232,"25",530005.95005638,"53",380000.04007982,"38",399996.49997579,"40",299995.63991472,"30",200003.98001678,"20",Burnt Oak,Barnet,2067226.785,390838.0041,279269.6018,3,8,3,8,11,1,0.6,1.4,4.2,1.43508452528932,Burnt Oak,206.719,Barnet,Burnt Oak,Barnet,Burnt Oak,"2022","20202",206.4,2.064,97.87790698,9787.790698
E05000045,680005.45002274,"68",999999.1900665,"100",649999.92990803,"65",390000.64000641,"39",149996.97994572,"15",230003.30000189,"23",Childs Hill,Barnet,3093001.08,468087.4022,207270.8545,4,9,3,4,7,0.8,0.8,1.6,7.6,2.02814824729229,Childs Hill,309.301,Barnet,Childs Hill,Barnet,Childs Hill,"2022","22858",308.9,3.089,73.99805762,7399.805762
E05000046,330002.68996738,"33",749999.3200773,"75",719994.75996299,"72",409999.99004311,"41",250001.74994694,"25",179998.06998542,"18",Colindale,Barnet,2636244.72,523231.8569,158622.2439,1,8,1,3,4,1,0.6,1.5,3.8,1.33500106673234,Colindale,263.627,Barnet,Colindale,Barnet,Colindale,"2022","33098",264.2,2.642,125.2763058,12527.63058
